snapped_at,price,market_cap,total_volume
2018-06-01 00:00:00 UTC,13.27963106231892,1177056778.4252517,105357528.60168947
2018-06-02 00:00:00 UTC,14.225739143316838,1260950170.6583695,134900731.3821902
2018-06-03 00:00:00 UTC,14.424313497071662,1278585918.877453,137621751.76886684
2018-06-04 00:00:00 UTC,14.433658247013234,1279448252.780128,122213014.11218154
2018-06-05 00:00:00 UTC,13.557651391122258,1201829016.3789623,122544376.21008801
2018-06-06 00:00:00 UTC,13.78607723137089,1222111317.6321752,111899605.14775358
2018-06-07 00:00:00 UTC,13.454856153726643,1192782039.6912022,92986600.8726354
2018-06-08 00:00:00 UTC,13.489830672593607,1195914498.210668,92197982.56970462
2018-06-09 00:00:00 UTC,13.240806026634866,1173870225.7311032,91106109.89679356
2018-06-10 00:00:00 UTC,12.936022754639502,1146880870.4990087,94008192.304619
2018-06-11 00:00:00 UTC,11.508345689222674,1020334071.8109304,71356676.70454152
2018-06-12 00:00:00 UTC,11.97477821954918,1061717462.1224709,101539835.11183988
2018-06-13 00:00:00 UTC,11.375539891325628,1008606738.7030795,125364791.25266823
2018-06-14 00:00:00 UTC,10.615098266534188,941182550.0946928,96820169.5465867
2018-06-15 00:00:00 UTC,11.17839461966965,991126948.6100136,96868142.94301936
2018-06-16 00:00:00 UTC,10.613420310169017,941033774.9057058,85611023.5909959
2018-06-17 00:00:00 UTC,10.662674752620006,945400896.2064726,44511263.78770971
2018-06-18 00:00:00 UTC,10.39620247568388,921774260.744513,97994949.31684265
2018-06-19 00:00:00 UTC,10.678147899920592,946772815.3228757,107337742.3127833
2018-06-20 00:00:00 UTC,10.630502265764502,942548338.2309129,167387039.2274938
2018-06-21 00:00:00 UTC,10.390147245754182,921237376.7135276,96989819.55966066
2018-06-22 00:00:00 UTC,10.247533640572835,908592610.4351084,68374494.9307565
2018-06-23 00:00:00 UTC,9.060224932799997,803320458.5178442,69291086.32256362
2018-06-24 00:00:00 UTC,8.897909267790709,788928818.6405776,60147400.60350653
2018-06-25 00:00:00 UTC,8.131191042361873,720948118.274551,66252630.532385275
2018-06-26 00:00:00 UTC,8.37771514750737,742806058.7396096,64122740.05442237
2018-06-27 00:00:00 UTC,8.2089901670812,727846140.0130137,121868065.1091376
2018-06-28 00:00:00 UTC,8.796417301195472,779930082.5445228,113201566.75805548
2018-06-29 00:00:00 UTC,7.84838695118395,695873430.4074405,64676189.233337425
2018-06-30 00:00:00 UTC,8.14292339348691,721988361.5085944,72510783.2041122
2018-07-01 00:00:00 UTC,8.460506300109618,750146696.21417,259789115.1800584
2018-07-02 00:00:00 UTC,8.5475185293309,757861593.4041561,114729088.7563658
2018-07-03 00:00:00 UTC,9.115274937605905,808201440.5497578,121158173.20921896
2018-07-04 00:00:00 UTC,8.720908838171802,773235161.2166251,109133960.76309696
2018-07-05 00:00:00 UTC,8.85260868739642,784912264.605399,111152108.11595534
